色	いろ	color
まだ	まだ	still; (not) yet; as yet
食べる	たべる	[tran] to eat
出来る	できる	[int] to be able to do; to be good at
to be ready; to be complete
一つ	ひとつ	one (thing)
五	ご	five
とても	とても	very; exceedingly
名前	なまえ	name; given (first) name
こちら	こちら	here; this way; this person
百	ひゃく	hundred
前	まえ	in front; before
毎日	まいにち	every day
それから	それから	afterwards; and then
電話	でんわ	telephone; phone call
楽しい	たのしい	enjoyable; fun
大きい	おおきい	big; large
今年	ことし	this year
作る	つくる	[tran] to make; to create; to manufacture; to prepare (food)
もっと	もっと	(some) more; even more; longer; further
六	ろく	six
朝	あさ	morning
少し	すこし	a bit; small quantity
たくさん	たくさん	many; much
分かる	わかる	[int] to understand; to comprehend/grasp; to be realized
あなた	あなた	you
あの	あの	that (thing) over there; um…
三	さん, み	three
好き	すき	liking; fondness; love
ページ	ページ	page
大きな	おおきな	big; large; great
ちょっと	ちょっと	just a moment; just a little; it's a bit (difficult)
テレビ	テレビ	television
千	せん, ち	thousand
そこ	そこ	there
どこ	どこ	where?
出す	だす	[tran] to take out; to get out; to send; to hand in
どの	どの	which (thing); what (way)
ここ	ここ	here
など	など	et cetera, and the like, and so forth
この	この	this (thing)
いる	いる	be; exist (person); stays at...
いつも	いつも	always; usually; every time; never (with neg. verb)
どう	どう	how; in what way; how about
こんな	こんな	such (about something/someone close to the speaker (including the speaker), or about ideas expressed by the speaker)
でも	でも	but; however
もう	もう	already; anymore; other; more
また	また	again
そして	そして	and; and then; thus; and now
雨	あめ	rain
低い	ひくい	low; short (height)付ける	つける	[tran] to attach; to join; to affix; to stick; to glue; to fasten
雑誌	ざっし	magazine; journal
絵	え	picture; painting; drawing
有名	ゆうめい	famous
靴	くつ	shoes; boots
我	われ,あれ	I; me
犬	いぬ	dog
大人	おとな	adult
キログラム	キログラム	kilogram
ください	ください	please give me; please (suffix)
キロメートル	キロメートル	kilometer
切る	きる	[tran] to cut; to cut through; to sever; to terminate; to disconnect; to hang up (phone); to turn off (lights)
広い	ひろい	wide; spacious
色々	いろいろ	various; a variety of
紙	かみ	paper
